case_id,total_volume,tx_count,max_amount,min_amount,mean_amount,std_amount,velocity_tx_per_min,time_span_sec,min_inter_arrival_sec,mean_inter_arrival_sec,std_inter_arrival_sec,rapid_tx_count,burst_ratio,num_nodes,num_edges,max_fan_in,max_fan_out,mean_fan_in,mean_fan_out,sources_only_count,sinks_only_count,convergence_ratio,max_betweenness,mean_betweenness,hop_depth,zone_a_frac,zone_b_frac,zone_c_frac,num_zones_active,ft_investment_scam,ft_digital_arrest,ft_fake_payment_gateway,ft_legitimate_business,account_reuse_ratio,amount_cv,max_to_mean_amount_ratio,recurring_amount_ratio,distinct_device_count,device_consistency_ratio,business_hours_ratio,hour_of_day_std,max_zone_distance_km,current_state,network_risk,predicted_next_action,intervention_priority,potential_exposure_inr,fraud_type,is_fraud,primary_zone
TRAIN-0001,3920519.9900000007,13,471835.69,64302.21,301578.46076923085,137392.54378886177,0.781563126252505,998.0,32.0,83.16666666666667,58.32796512095648,6,0.5,14,13,6,3,0.9285714285714286,0.9285714285714286,6,4,0.07142857142857142,0.2692307692307692,0.032051282051282055,3,0.0,0.6923076923076923,0.3076923076923077,2,1,0,0,0,1.3,0.456,1.565,0.308,11,0.167,1.0,0.0,1654.8,layering,0.63,further_layering,MEDIUM,1306840.0,investment_scam,1,zone_b
TRAIN-0002,4607456.1,30,921491.22,42359.07,153581.87,169178.466281762,1.007838745800672,1786.0,26.0,61.58620689655172,25.93469441470704,14,0.4827586206896552,21,30,11,4,1.4285714285714286,1.4285714285714286,3,1,0.09523809523809523,0.13421052631578947,0.01729323308270677,5,0.0,1.0,0.0,1,1,0,0,0,1.5,1.102,6.0,0.267,22,0.276,1.0,0.45,0.0,cashout_prep,0.75,cashout,HIGH,921491.0,investment_scam,1,zone_b
TRAIN-0003,6608450.45,23,697407.41,118502.69,287323.93260869564,158318.40371508346,0.7328730748805098,1883.0,29.0,85.5909090909091,52.60242533871563,6,0.2727272727272727,17,23,8,3,1.3529411764705883,1.3529411764705883,4,1,0.11764705882352941,0.2,0.024754901960784316,4,1.0,0.0,0.0,1,1,0,0,0,1.438,0.551,2.427,0.174,19,0.182,0.478,0.511,0.0,consolidation,0.8,cashout,HIGH,1652113.0,investment_scam,1,zone_a
TRAIN-0004,3857622.1300000004,14,466593.72,77075.27,275544.4378571429,122674.32101504788,0.7052896725440806,1191.0,55.0,91.61538461538461,45.28159755268222,2,0.15384615384615385,15,14,5,4,0.9333333333333333,0.9333333333333333,5,5,0.06666666666666667,0.24725274725274726,0.027472527472527472,3,0.0,1.0,0.0,1,1,0,0,0,1.4,0.445,1.693,0.143,11,0.231,0.0,0.0,0.0,layering,0.64,further_layering,MEDIUM,1285874.0,investment_scam,1,zone_b
TRAIN-0005,1678103.5999999999,6,425176.33,144582.21,279683.9333333333,120380.11988353121,0.7377049180327869,488.0,23.0,97.6,67.59289903532768,2,0.4,7,6,6,1,0.8571428571428571,0.8571428571428571,6,1,0.14285714285714285,0.0,0.0,1,0.6666666666666666,0.0,0.3333333333333333,2,1,0,0,0,1.0,0.43,1.52,0.333,6,0.0,0.0,0.408,1148.1,collection,0.27,other,LOW,1678104.0,investment_scam,1,zone_a
TRAIN-0006,1527090.67,6,462861.51,104611.37,254515.11166666666,134300.49579816204,0.5853658536585366,615.0,39.0,123.0,92.9758033038704,1,0.2,7,6,6,1,0.8571428571428571,0.8571428571428571,6,1,0.14285714285714285,0.0,0.0,1,0.3333333333333333,0.0,0.6666666666666666,2,1,0,0,0,1.0,0.528,1.819,0.333,6,0.0,0.333,0.516,1148.1,collection,0.43,other,LOW,1527091.0,investment_scam,1,zone_a
TRAIN-0007,2053619.28,6,474233.75,184375.69,342269.88,124407.95751297101,0.43010752688172044,837.0,13.0,167.4,105.822020392733,1,0.2,7,6,6,1,0.8571428571428571,0.8571428571428571,6,1,0.14285714285714285,0.0,0.0,1,0.3333333333333333,0.6666666666666666,0.0,2,1,0,0,0,1.0,0.363,1.386,0.333,6,0.0,1.0,0.0,1303.8,collection,0.41,other,LOW,2053619.0,investment_scam,1,zone_b
TRAIN-0008,6446298.75,27,477325.28,108657.66,238751.80555555556,107031.53474161513,0.9126760563380282,1775.0,31.0,68.26923076923077,34.28650777470076,12,0.46153846153846156,22,27,4,5,1.2272727272727273,1.2272727272727273,4,3,0.13636363636363635,0.1619047619047619,0.016341991341991338,4,1.0,0.0,0.0,1,1,0,0,0,1.421,0.448,1.999,0.185,23,0.154,1.0,0.0,0.0,consolidation,0.8,cashout,HIGH,1611575.0,investment_scam,1,zone_a
TRAIN-0009,1733770.43,22,181461.49,27099.78,78807.74681818181,36839.997017846086,0.8847184986595175,1492.0,27.0,71.04761904761905,26.592247348571707,9,0.42857142857142855,19,22,4,4,1.1578947368421053,1.1578947368421053,4,3,0.15789473684210525,0.18300653594771238,0.021671826625386994,4,0.0,0.13636363636363635,0.8636363636363636,2,1,0,0,0,1.375,0.467,2.303,0.182,17,0.238,1.0,0.429,1654.8,consolidation,0.67,cashout,MEDIUM,433443.0,investment_scam,1,zone_c
TRAIN-0010,3688474.8,30,295235.98,35321.4,122949.15999999999,76030.92794803577,0.5936675461741425,3032.0,20.0,104.55172413793103,62.127510703446795,6,0.20689655172413793,23,30,5,5,1.3043478260869565,1.3043478260869565,5,2,0.13043478260869565,0.18398268398268397,0.01665725578769057,4,0.13333333333333333,0.0,0.8666666666666667,2,1,0,0,0,1.429,0.618,2.401,0.133,28,0.069,1.0,0.0,1148.1,consolidation,0.79,cashout,HIGH,922119.0,investment_scam,1,zone_c
TRAIN-0011,140920.76,2,121574.09,19346.67,70460.38,72285.7019052053,0.5429864253393666,221.0,221.0,221.0,0.0,0,0.0,3,2,2,1,0.6666666666666666,0.6666666666666666,2,1,0.0,0.0,0.0,1,0.0,0.0,1.0,1,1,0,0,0,1.0,1.026,1.725,0.5,2,0.0,1.0,0.0,0.0,emerging,0.28,other,LOW,948016.0,investment_scam,1,zone_a
TRAIN-0012,3825731.97,26,423516.9,53644.08,147143.5373076923,103821.07980760337,0.7910750507099391,1972.0,21.0,78.88,41.514375020387014,10,0.4,22,26,4,3,1.1818181818181819,1.1818181818181819,4,3,0.13636363636363635,0.1619047619047619,0.022619047619047622,5,0.11538461538461539,0.0,0.8846153846153846,2,1,0,0,0,1.368,0.706,2.878,0.231,21,0.2,0.0,0.508,1148.1,cashout_prep,0.8,cashout,HIGH,765146.0,investment_scam,1,zone_c
TRAIN-0013,8024571.67,16,1056395.07,154849.41,501535.729375,324949.01968343917,0.707442888725129,1357.0,7.0,90.46666666666667,60.267103875363134,5,0.3333333333333333,14,16,6,3,1.1428571428571428,1.1428571428571428,6,1,0.14285714285714285,0.2692307692307692,0.03937728937728936,4,0.875,0.125,0.0,2,1,0,0,0,1.231,0.648,2.106,0.188,15,0.067,1.0,0.0,1303.8,consolidation,0.8,cashout,HIGH,2006143.0,investment_scam,1,zone_a
TRAIN-0014,2857087.3000000003,9,564527.48,73150.74,317454.14444444445,157111.64579394503,0.4368932038834951,1236.0,104.0,154.5,80.97971527311198,0,0.0,10,9,5,4,0.9,0.9,5,4,0.1,0.2777777777777778,0.02777777777777778,2,0.0,1.0,0.0,1,1,0,0,0,1.5,0.495,1.778,0.222,6,0.375,1.0,0.0,0.0,distribution,0.49,external_transfer,LOW,1428544.0,investment_scam,1,zone_b
TRAIN-0015,969172.7300000001,5,280555.84,99900.4,193834.54600000003,71553.39730440255,0.5758157389635317,521.0,61.0,130.25,105.95085338652697,0,0.0,6,5,5,1,0.8333333333333334,0.8333333333333334,5,1,0.16666666666666666,0.0,0.0,1,0.0,0.6,0.4,2,1,0,0,0,1.0,0.369,1.447,0.2,5,0.0,0.0,0.0,1654.8,collection,0.33,other,LOW,969173.0,investment_scam,1,zone_b
TRAIN-0016,603769.37,2,476426.44,127342.93,301884.685,246839.31712140198,3.0,40.0,40.0,40.0,0.0,1,1.0,3,2,2,1,0.6666666666666666,0.6666666666666666,2,1,0.0,0.0,0.0,1,0.0,0.5,0.5,2,1,0,0,0,1.0,0.818,1.578,0.5,2,0.0,1.0,0.0,1654.8,collection,0.32,other,LOW,603769.0,investment_scam,1,zone_b
TRAIN-0017,1703897.47,6,392096.88,138772.31,283982.9116666667,90546.11079895224,0.916030534351145,393.0,29.0,78.6,86.6071590574359,3,0.6,7,6,3,3,0.8571428571428571,0.8571428571428571,3,3,0.14285714285714285,0.3,0.04285714285714286,2,0.0,1.0,0.0,1,1,0,0,0,1.5,0.319,1.381,0.333,6,0.0,0.0,0.0,0.0,distribution,0.43,further_layering,LOW,851949.0,investment_scam,1,zone_b
TRAIN-0018,5023535.46,15,517917.41,85522.66,334902.364,147247.45752534748,0.6410256410256411,1404.0,25.0,100.28571428571429,51.672680732336055,3,0.21428571428571427,16,15,5,4,0.9375,0.9375,5,6,0.0625,0.2380952380952381,0.025595238095238095,3,0.0,1.0,0.0,1,1,0,0,0,1.5,0.44,1.546,0.267,12,0.214,0.0,0.0,0.0,layering,0.54,further_layering,MEDIUM,1674512.0,investment_scam,1,zone_b
TRAIN-0019,4876807.069999999,20,521299.07,92118.05,243840.35349999997,127235.15808872064,0.8213552361396304,1461.0,20.0,76.89473684210526,58.59550109469166,8,0.42105263157894735,21,20,5,5,0.9523809523809523,0.9523809523809523,5,10,0.047619047619047616,0.19736842105263158,0.016917293233082706,3,0.3,0.7,0.0,2,1,0,0,0,1.818,0.522,2.138,0.2,14,0.316,0.0,0.308,1303.8,layering,0.64,further_layering,MEDIUM,1625602.0,investment_scam,1,zone_b
TRAIN-0020,2224760.5,5,705325.92,334281.13,444952.1,149243.0795889121,0.6109979633401221,491.0,26.0,122.75,121.5,2,0.5,6,5,3,2,0.8333333333333334,0.8333333333333334,3,2,0.16666666666666666,0.30000000000000004,0.05000000000000001,2,0.2,0.0,0.8,2,1,0,0,0,1.25,0.335,1.585,0.4,4,0.25,0.0,0.0,1148.1,distribution,0.47,further_layering,LOW,1112380.0,investment_scam,1,zone_a
